Solution,id,name,constraints
Solution #1,98503,Computer Architecture and Assembly Language,"['Tuesday 08:30-09:45', 'Tuesday 10:00-11:15', 'Tuesday 11:30-12:45', 'Thursday 11:30-12:45']"
Solution #1,98443,Computer Communication and Networking,"['Monday 14:30-15:45', 'Monday 16:00-17:15', 'Monday 17:30-18:45', 'Wednesday 14:30-15:45']"
Solution #1,98355,Introduction to Artificial Intelligence,"['Monday 08:30-09:45', 'Wednesday 08:30-09:45']"
Solution #1,98655,Pakistan History,"['Monday 11:30-12:45', 'Wednesday 11:30-12:45']"
Solution #1,98393,Theory of Automata,"['Monday 10:00-11:15', 'Wednesday 10:00-11:15']"
,,,
Solution #2,98473,Computer Architecture and Assembly Language,"['Tuesday 14:30-15:45', 'Thursday 14:30-15:45', 'Friday 08:30-09:45', 'Friday 10:00-11:15']"
Solution #2,98443,Computer Communication and Networking,"['Monday 14:30-15:45', 'Monday 16:00-17:15', 'Monday 17:30-18:45', 'Wednesday 14:30-15:45']"
Solution #2,98355,Introduction to Artificial Intelligence,"['Monday 08:30-09:45', 'Wednesday 08:30-09:45']"
Solution #2,98655,Pakistan History,"['Monday 11:30-12:45', 'Wednesday 11:30-12:45']"
Solution #2,98393,Theory of Automata,"['Monday 10:00-11:15', 'Wednesday 10:00-11:15']"
,,,
Solution #3,98496,Computer Architecture and Assembly Language,"['Tuesday 10:00-11:15', 'Tuesday 13:00-14:15', 'Tuesday 14:30-15:45', 'Thursday 10:00-11:15', 'Thursday 14:30-15:45']"
Solution #3,98443,Computer Communication and Networking,"['Monday 14:30-15:45', 'Monday 16:00-17:15', 'Monday 17:30-18:45', 'Wednesday 14:30-15:45']"
Solution #3,98355,Introduction to Artificial Intelligence,"['Monday 08:30-09:45', 'Wednesday 08:30-09:45']"
Solution #3,98655,Pakistan History,"['Monday 11:30-12:45', 'Wednesday 11:30-12:45']"
Solution #3,98393,Theory of Automata,"['Monday 10:00-11:15', 'Wednesday 10:00-11:15']"
,,,
Solution #4,98473,Computer Architecture and Assembly Language,"['Tuesday 14:30-15:45', 'Thursday 14:30-15:45', 'Friday 08:30-09:45', 'Friday 10:00-11:15']"
Solution #4,98470,Computer Communication and Networking,"['Tuesday 10:00-11:15', 'Tuesday 11:30-12:45', 'Tuesday 13:00-14:15', 'Thursday 10:00-11:15']"
Solution #4,98355,Introduction to Artificial Intelligence,"['Monday 08:30-09:45', 'Wednesday 08:30-09:45']"
Solution #4,98655,Pakistan History,"['Monday 11:30-12:45', 'Wednesday 11:30-12:45']"
Solution #4,98393,Theory of Automata,"['Monday 10:00-11:15', 'Wednesday 10:00-11:15']"
,,,
Solution #5,98473,Computer Architecture and Assembly Language,"['Tuesday 14:30-15:45', 'Thursday 14:30-15:45', 'Friday 08:30-09:45', 'Friday 10:00-11:15']"
Solution #5,98471,Computer Communication and Networking,"['Tuesday 10:00-11:15', 'Tuesday 11:30-12:45', 'Tuesday 13:00-14:15', 'Thursday 10:00-11:15']"
Solution #5,98355,Introduction to Artificial Intelligence,"['Monday 08:30-09:45', 'Wednesday 08:30-09:45']"
Solution #5,98655,Pakistan History,"['Monday 11:30-12:45', 'Wednesday 11:30-12:45']"
Solution #5,98393,Theory of Automata,"['Monday 10:00-11:15', 'Wednesday 10:00-11:15']"
,,,
